iter	Passed	Remaining
958	10392	444
959	10403	433
960	10414	422
961	10426	411
962	10437	401
963	10448	390
964	10460	379
965	10471	368
966	10484	357
967	10495	346
968	10506	336
969	10519	325
970	10530	314
971	10543	303
972	10554	292
973	10566	282
974	10577	271
975	10589	260
976	10601	249
977	10615	238
978	10628	227
979	10640	217
980	10655	206
981	10665	195
982	10677	184
983	10689	173
984	10701	162
985	10713	152
986	10724	141
987	10735	130
988	10748	119
989	10759	108
990	10771	97
991	10783	86
992	10794	76
993	10807	65
994	10819	54
995	10832	43
996	10844	32
997	10855	21
998	10870	10
999	10881	0
